motif1,motif2,config_pair,strand_pair,spacing,ce_count_target,ce_count_control,p_value,log2_fc,num_configs
Jra,Jra,"('Jra', 'Jra')","('-', '+')",10,8,0,4.625662364678547e-09,36.21928094905396,1
Jra,GATAe,"('GATAe', 'Jra')","('+', '+')",5,6,0,5.619148126570874e-07,35.804243449835226,6
Jra,GATAe,"('GATAe', 'Jra')","('+', '-')",9,2,0,0.008261960853387349,34.219280949594975,6
Jra,GATAe,"('GATAe', 'Jra')","('+', '-')",1,4,1,0.0003161249893621969,5.321928093805341,6
Jra,GATAe,"('GATAe', 'Jra')","('-', '+')",8,4,0,6.817734541945425e-05,35.219280949234296,6
Jra,GATAe,"('GATAe', 'Jra')","('-', '-')",5,2,0,0.008261960853387349,34.219280949594975,6
Jra,GATAe,"('GATAe', 'Jra')","('-', '-')",2,2,0,0.008261960853387349,34.219280949594975,6
Jra,CTCF,"('CTCF', 'Jra')","('+', '+')",-2,2,1,0.023284617414025665,4.321928094166015,3
Jra,CTCF,"('CTCF', 'Jra')","('+', '-')",-1,2,1,0.023284617414025665,4.321928094166015,3
Jra,CTCF,"('CTCF', 'Jra')","('+', '-')",-3,2,1,0.023284617414025665,4.321928094166015,3
Jra,twi,"('Jra', 'twi')","('+', '+')",4,2,0,0.008261960853387349,34.219280949594975,2
Jra,twi,"('Jra', 'twi')","('-', '-')",-3,8,7,1.6561075267037556e-05,3.514573172803996,2
Jra,Dref,"('Dref', 'Jra')","('+', '+')",-3,4,1,0.0003161249893621969,5.321928093805341,4
Jra,Dref,"('Dref', 'Jra')","('+', '+')",7,6,0,5.619148126570874e-07,35.804243449835226,4
Jra,Dref,"('Dref', 'Jra')","('+', '-')",-4,4,3,0.0019045248268856332,3.736965594045982,4
Jra,Dref,"('Dref', 'Jra')","('-', '+')",7,6,1,3.6274615151899842e-06,5.906890594406272,4
GATAe,Jra,"('GATAe', 'Jra')","('+', '+')",5,6,0,5.619148126570874e-07,35.804243449835226,6
GATAe,Jra,"('GATAe', 'Jra')","('+', '-')",9,2,0,0.008261960853387349,34.219280949594975,6
GATAe,Jra,"('GATAe', 'Jra')","('+', '-')",1,4,1,0.0003161249893621969,5.321928093805341,6
GATAe,Jra,"('GATAe', 'Jra')","('-', '+')",8,4,0,6.817734541945425e-05,35.219280949234296,6
GATAe,Jra,"('GATAe', 'Jra')","('-', '-')",5,2,0,0.008261960853387349,34.219280949594975,6
GATAe,Jra,"('GATAe', 'Jra')","('-', '-')",2,2,0,0.008261960853387349,34.219280949594975,6
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",10,6,2,1.3383216276779686e-05,4.906890595127621,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",7,6,2,1.3383216276779686e-05,4.906890595127621,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",5,8,2,1.7596427301100008e-07,5.321928094346352,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",4,6,0,5.619148126570874e-07,35.804243449835226,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",0,4,2,0.0008797089030079383,4.3219280945266885,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '+')",-1,8,4,1.6368933438188702e-06,4.321928094707026,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '-')",4,12,4,4.0097059055736883e-10,4.906890595368069,16
GATAe,GATAe,"('GATAe', 'GATAe')","('+', '-')",-1,36,8,2.2760474397033433e-30,5.491853096189413,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '+')",-2,102,10,2.8091026922735413e-94,6.67242534184137,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '+')",7,6,4,8.543017500788016e-05,3.906890595488294,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '+')",8,12,6,3.436053530322391e-09,4.321928094767138,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '-')",10,6,0,5.619148126570874e-07,35.804243449835226,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '-')",7,6,4,8.543017500788016e-05,3.906890595488294,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '-')",5,8,4,1.6368933438188702e-06,4.321928094707026,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '-')",4,6,2,1.3383216276779686e-05,4.906890595127621,16
GATAe,GATAe,"('GATAe', 'GATAe')","('-', '-')",1,4,0,6.817734541945425e-05,35.219280949234296,16
GATAe,CTCF,"('CTCF', 'GATAe')","('+', '+')",1,2,0,0.008261960853387349,34.219280949594975,3
GATAe,CTCF,"('CTCF', 'GATAe')","('+', '-')",7,2,0,0.008261960853387349,34.219280949594975,3
GATAe,CTCF,"('CTCF', 'GATAe')","('+', '-')",4,2,0,0.008261960853387349,34.219280949594975,3
GATAe,Atf6,"('Atf6', 'GATAe')","('-', '+')",4,2,0,0.008261960853387349,34.219280949594975,1
GATAe,twi,"('GATAe', 'twi')","('+', '+')",4,6,3,3.703768442563784e-05,4.321928094646913,3
GATAe,twi,"('GATAe', 'twi')","('+', '+')",1,2,1,0.023284617414025665,4.321928094166015,3
GATAe,twi,"('GATAe', 'twi')","('+', '+')",-1,3,1,0.0027979982560144023,4.906890594646722,3
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",-5,354,49,3.29396926e-316,6.174823800829785,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",0,12,2,2.3868211524803992e-11,5.906890595007395,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",1,6,2,1.3383216276779686e-05,4.906890595127621,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",3,14,4,5.507924001343304e-12,5.129283016687342,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",4,7,2,1.5559822023505965e-06,5.129283016429718,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",5,6,1,3.6274615151899842e-06,5.906890594406272,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",7,14,1,3.5178208991523363e-14,7.129283015605321,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '+')",9,6,3,3.703768442563784e-05,4.321928094646913,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",9,4,1,0.0003161249893621969,5.321928093805341,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",8,4,2,0.0008797089030079383,4.3219280945266885,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",7,10,4,2.700091656784646e-08,4.643856189558321,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",6,10,0,3.803207759891595e-11,36.541209043905255,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",4,6,2,1.3383216276779686e-05,4.906890595127621,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",2,10,1,3.8388293618094836e-10,6.643856188476299,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",1,16,0,2.098507853633355e-17,37.21928094896379,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",0,4,2,0.0008797089030079383,4.3219280945266885,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",-1,4,0,6.817734541945425e-05,35.219280949234296,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",-2,14,1,3.5178208991523363e-14,7.129283015605321,35
GATAe,Dref,"('Dref', 'GATAe')","('+', '-')",-3,6,1,3.6274615151899842e-06,5.906890594406272,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",-1,6,0,5.619148126570874e-07,35.804243449835226,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",1,10,4,2.700091656784646e-08,4.643856189558321,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",3,8,1,3.8274992462797376e-08,6.321928093625004,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",4,8,3,5.933030688302201e-07,4.736965593865644,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",5,6,0,5.619148126570874e-07,35.804243449835226,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",6,8,0,4.625662364678547e-09,36.21928094905396,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",7,10,1,3.8388293618094836e-10,6.643856188476299,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",8,6,2,1.3383216276779686e-05,4.906890595127621,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '+')",9,6,2,1.3383216276779686e-05,4.906890595127621,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",9,4,0,6.817734541945425e-05,35.219280949234296,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",7,16,3,1.557128214763207e-14,5.736965593775476,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",6,6,2,1.3383216276779686e-05,4.906890595127621,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",4,16,2,2.6873034001564058e-15,6.321928094256183,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",2,10,3,8.405605066934323e-09,5.05889368871694,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",1,30,1,1.4209269961516377e-30,8.228818689101276,35
GATAe,Dref,"('Dref', 'GATAe')","('-', '-')",0,6,1,3.6274615151899842e-06,5.906890594406272,35
CTCF,Jra,"('CTCF', 'Jra')","('+', '+')",-2,2,1,0.023284617414025665,4.321928094166015,3
CTCF,Jra,"('CTCF', 'Jra')","('+', '-')",-1,2,1,0.023284617414025665,4.321928094166015,3
CTCF,Jra,"('CTCF', 'Jra')","('+', '-')",-3,2,1,0.023284617414025665,4.321928094166015,3
CTCF,GATAe,"('CTCF', 'GATAe')","('+', '+')",1,2,0,0.008261960853387349,34.219280949594975,3
CTCF,GATAe,"('CTCF', 'GATAe')","('+', '-')",7,2,0,0.008261960853387349,34.219280949594975,3
CTCF,GATAe,"('CTCF', 'GATAe')","('+', '-')",4,2,0,0.008261960853387349,34.219280949594975,3
CTCF,CTCF,"('CTCF', 'CTCF')","('+', '+')",4,2,0,0.008261960853387349,34.219280949594975,4
CTCF,CTCF,"('CTCF', 'CTCF')","('+', '+')",3,2,0,0.008261960853387349,34.219280949594975,4
CTCF,CTCF,"('CTCF', 'CTCF')","('-', '-')",4,2,0,0.008261960853387349,34.219280949594975,4
CTCF,CTCF,"('CTCF', 'CTCF')","('-', '-')",3,2,0,0.008261960853387349,34.219280949594975,4
CTCF,Atf6,"('Atf6', 'CTCF')","('+', '+')",4,2,0,0.008261960853387349,34.219280949594975,1
CTCF,Max,"('CTCF', 'Max')","('-', '+')",-5,4,1,0.0003161249893621969,5.321928093805341,3
CTCF,Max,"('CTCF', 'Max')","('-', '-')",-3,4,0,6.817734541945425e-05,35.219280949234296,3
CTCF,Max,"('CTCF', 'Max')","('-', '-')",-2,2,0,0.008261960853387349,34.219280949594975,3
CTCF,twi,"('CTCF', 'twi')","('-', '+')",-3,2,0,0.008261960853387349,34.219280949594975,3
CTCF,twi,"('CTCF', 'twi')","('-', '+')",8,2,0,0.008261960853387349,34.219280949594975,3
CTCF,twi,"('CTCF', 'twi')","('-', '-')",9,2,1,0.023284617414025665,4.321928094166015,3
CTCF,Dref,"('CTCF', 'Dref')","('+', '-')",10,6,1,3.6274615151899842e-06,5.906890594406272,3
CTCF,Dref,"('CTCF', 'Dref')","('-', '+')",7,4,0,6.817734541945425e-05,35.219280949234296,3
CTCF,Dref,"('CTCF', 'Dref')","('-', '-')",7,4,0,6.817734541945425e-05,35.219280949234296,3
Atf6,GATAe,"('Atf6', 'GATAe')","('-', '+')",4,2,0,0.008261960853387349,34.219280949594975,1
Atf6,CTCF,"('Atf6', 'CTCF')","('+', '+')",4,2,0,0.008261960853387349,34.219280949594975,1
